All averages are calculated from 10 runs

Weighed a star with weight = 1
,,avg(iterations),avg(running time),avg(visited nodes),avg(unexplored nodes),avg(steps to solution),successful runs
,1 tile(s),3.6,0.0009232000000000001,4.2,3.0,3.6,10
,2 tile(s),5.3,0.0023028,5.9,14.0,4.2,10
,3 tile(s),14.3,0.008781200000000001,13.5,41.6,6.3,10
,4 tile(s),50.9,0.06090990000000002,37.0,120.8,8.2,10
,5 tile(s),466.1,1.1749630000000002,286.2,745.3,12.2,10
,6 tile(s),651.6,1.1011073000000002,424.1,1049.2,14.9,10
,7 tile(s),559.1,0.9171999,388.2,732.2,17.5,10
,8 tile(s),1068.6,1.3654819999999994,978.1,621.0,22.3,10
Weighed a star with weight = 5
,,avg(iterations),avg(running time),avg(visited nodes),avg(unexplored nodes),avg(steps to solution),successful runs
,1 tile(s),2.6,0.0007070000000000002,3.6,2.8,3.6,10
,2 tile(s),3.9,0.0016637000000000002,4.8,12.0,4.2,10
,3 tile(s),5.7,0.0030450000000000004,6.7,20.9,6.5,10
,4 tile(s),9.7,0.006031300000000001,10.5,38.8,9.0,10
,5 tile(s),44.9,0.042121000000000006,31.0,101.6,14.2,10
,6 tile(s),61.6,0.0594737,37.8,114.9,18.5,10
,7 tile(s),135.3,0.11842629999999996,76.2,160.9,22.1,10
,8 tile(s),285.7,0.26702509999999996,237.8,179.1,29.1,10
Weighed a star with weight = 10
,,avg(iterations),avg(running time),avg(visited nodes),avg(unexplored nodes),avg(steps to solution),successful runs
,1 tile(s),2.6,0.0006988000000000001,3.6,2.8,3.6,10
,2 tile(s),3.9,0.0016853,4.8,12.0,4.2,10
,3 tile(s),5.7,0.0028753,6.7,20.9,6.5,10
,4 tile(s),9.7,0.006214499999999996,10.5,38.8,9.0,10
,5 tile(s),42.4,0.03727799999999999,31.0,100.2,14.2,10
,6 tile(s),68.3,0.0665343,37.7,114.9,18.5,10
,7 tile(s),232.5,0.2683156000000001,102.7,212.0,25.5,10
,8 tile(s),269.9,0.18108349999999995,211.4,160.2,33.5,10
Weighed a star with weight = 15
,,avg(iterations),avg(running time),avg(visited nodes),avg(unexplored nodes),avg(steps to solution),successful runs
,1 tile(s),2.6,0.000743,3.6,2.8,3.6,10
,2 tile(s),3.9,0.0016107999999999997,4.8,12.0,4.2,10
,3 tile(s),5.7,0.003090900000000001,6.7,20.9,6.5,10
,4 tile(s),9.7,0.006140900000000002,10.5,38.8,9.0,10
,5 tile(s),42.4,0.037613400000000005,31.0,100.2,14.2,10
,6 tile(s),69.6,0.06782060000000001,37.7,114.5,18.5,10
,7 tile(s),258.4,0.2868820000000001,101.1,213.6,28.7,10
,8 tile(s),313.8,0.22295360000000014,221.9,177.1,36.3,10
Weighed a star with weight = 20
,,avg(iterations),avg(running time),avg(visited nodes),avg(unexplored nodes),avg(steps to solution),successful runs
,1 tile(s),2.6,0.0007443000000000001,3.6,2.8,3.6,10
,2 tile(s),3.9,0.0016379999999999993,4.8,12.0,4.2,10
,3 tile(s),5.7,0.003036099999999999,6.7,20.9,6.5,10
,4 tile(s),9.7,0.006254699999999999,10.5,38.8,9.0,10
,5 tile(s),42.4,0.0379804,31.0,100.2,14.2,10
,6 tile(s),75.7,0.0736764,37.7,114.4,18.5,10
,7 tile(s),282.4,0.3103275999999998,97.8,209.8,28.7,10
,8 tile(s),331.2,0.23207969999999997,230.6,183.9,36.3,10
Greedy best first
,,avg(iterations),avg(running time),avg(visited nodes),avg(unexplored nodes),avg(steps to solution),successful runs
,1 tile(s),2.6,0.0007268999999999997,3.6,2.8,3.6,10
,2 tile(s),3.8,0.0015235000000000003,4.8,11.8,4.4,10
,3 tile(s),5.7,0.002821099999999999,6.7,20.9,6.5,10
,4 tile(s),9.2,0.005451000000000003,10.2,38.2,9.2,10
,5 tile(s),17.166666666666668,0.007285333333333366,18.0,71.33333333333333,15.666666666666666,6
,6 tile(s),17.8,0.006402600000000191,18.8,64.0,16.2,5
,7 tile(s),22.666666666666668,0.006468333333334186,23.666666666666668,56.333333333333336,18.333333333333332,3
,8 tile(s),31.0,0.0042205000000006265,32.0,27.0,25.5,2
